Ring_Number	Year	Time_capt_dec	Temperature_capture	Temp_meandaycapture	Temp_previousdaymean	Temp_3daypreviousrunningmean	Temp_mindaycapture	Temp_previousdaymin	Temp_3daypreviousrunningmin	Temp_maxdaycapture	Temp_previousdaymax	Temp_3daypreviousrunningmax	sex	time_measured_CORT0sec	CORT0	time_measured_CORT30	CORT30
C3F8112	2015	11.28333333	14.6	12.62425	10.90558333	13.715375	8.319	9.188	11.71266667	16.892	12.534	16.15133333	1	150	3230.752	1800	10779.44
C3F8114	2015	11.73333333	13.04	13.10691667	17.133625	17.04273611	11.589	14.361	11.05566667	14.936	20.984	22.63933333	2	90	5016.9	1800	40759.88
C3F8114	2016	10.63333333	11.72	10.87504167	8.940583333	9.148319444	7.594	7.645	6.169666667	15.247	11.151	12.795	2	160	10359.36	1920	31208.45
C3F8114	2017	10.48333333	8.64	9.161791667	8.282375	8.350333333	6.408	4.766	4.64	13.016	14.218	13.497	2	113	4000.65	1803	24376.7
C3F8115	2015	10.56666667	12.243	11.78616667	10.11575	9.183986111	9.238	7.268	6.471333333	16.487	13.064	11.99933333	2	150	6306.244	1800	29579.48
C3F8116	2015	12.66666667	11.321	8.905333333	8.530875	7.509138889	6.864	5.282	5.573333333	11.832	11.102	9.892	1	110	2208.556	1980	15407.92
C3F8117	2015	12.5	19.746	15.249375	12.97375	12.16786111	8.469	10.614	9.373666667	20.412	15.963	15.12966667	2	150	4620.83052	1800	24818.472
C3F8117	2016	9.666666667	7.19	7.300958333	5.767125	7.122888889	4.558	4.506	5.337	11.248	8.369	9.177333333	2	190	19219.08	1800	12885.45
C3F8118	2015	9.45	18.271	17.133625	18.66754167	15.69677778	14.361	10.736	9.569666667	20.984	25.258	21.36233333	2	120	12542.4	1800	11800.48
C3F8119	2015	10.78333333	19.246	17.133625	18.66754167	15.69677778	14.361	10.736	9.569666667	20.984	25.258	21.36233333	2	90	3809.2	1800	30184.28
C3F8119	2016	10.05	15.652	13.53029167	12.93616	12.97105333	11.589	11.54	10.92966667	17.415	14.792	15.32533333	2	100	1228.5	1980	6086.55
C3F8120	2015	9.033333333	12.413	13.10691667	17.133625	17.04273611	11.589	14.361	11.05566667	14.936	20.984	22.63933333	1	90	7206.108	1800	14842.28
C3F8120	2017	11.78333333	11.52	9.161791667	8.282375	8.350333333	6.408	4.766	4.64	13.016	14.218	13.497	1	130	3302.97	1845	12262.85
